Coupled,Divorced,Marital-Status,Married-AF-spouse,Married-civ-spouse,Married-spouse-absent,Never-married,Other,Separated,Single,Widowed
0.0,0.8,0.5,0.3333333333333333,0.3333333333333333,0.75,0.75,0.6666666666666666,0.75,0.6666666666666666,0.75
0.8,0.0,0.75,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6,0.8,0.25,0.5,0.6
0.5,0.75,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.5,0.6666666666666666
0.3333333333333333,0.8333333333333334,0.6666666666666666,0.0,0.5,0.8,0.8,0.75,0.8,0.75,0.8
0.3333333333333333,0.8333333333333334,0.6666666666666666,0.5,0.0,0.8,0.8,0.75,0.8,0.75,0.8
0.75,0.8333333333333334,0.6666666666666666,0.8,0.8,0.0,0.8,0.3333333333333333,0.8,0.75,0.8
0.75,0.6,0.6666666666666666,0.8,0.8,0.8,0.0,0.75,0.5,0.3333333333333333,0.5
0.6666666666666666,0.8,0.5,0.75,0.75,0.3333333333333333,0.75,0.0,0.75,0.6666666666666666,0.75
0.75,0.25,0.6666666666666666,0.8,0.8,0.8,0.5,0.75,0.0,0.3333333333333333,0.5
0.6666666666666666,0.5,0.5,0.75,0.75,0.75,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333
0.75,0.6,0.6666666666666666,0.8,0.8,0.8,0.5,0.75,0.5,0.3333333333333333,0.0
