Federal-gov,Gov-emp,Local-gov,Private,Self-emp,Self-emp-inc,Self-emp-not-inc,State-gov,Without-pay,Workclass
0.0,0.3333333333333333,0.5,0.75,0.75,0.8,0.8,0.5,0.75,0.6666666666666666
0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.75,0.75,0.3333333333333333,0.6666666666666666,0.5
0.5,0.3333333333333333,0.0,0.75,0.75,0.8,0.8,0.5,0.75,0.6666666666666666
0.75,0.6666666666666666,0.75,0.0,0.6666666666666666,0.75,0.75,0.75,0.6666666666666666,0.5
0.75,0.6666666666666666,0.75,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.75,0.6666666666666666,0.5
0.8,0.75,0.8,0.75,0.3333333333333333,0.0,0.5,0.8,0.75,0.6666666666666666
0.8,0.75,0.8,0.75,0.3333333333333333,0.5,0.0,0.8,0.75,0.6666666666666666
0.5,0.3333333333333333,0.5,0.75,0.75,0.8,0.8,0.0,0.75,0.6666666666666666
0.75,0.6666666666666666,0.75,0.6666666666666666,0.6666666666666666,0.75,0.75,0.75,0.0,0.5
0.6666666666666666,0.5,0.6666666666666666,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.0
